"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.module.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 7, 26
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.html", "HTML", 0, 0, 0, 0, 270, 0, 0, 0, 3, 12, 285
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.scss", "SCSS", 0, 0, 0, 513, 0, 0, 0, 0, 16, 27, 556
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.spec.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 6, 109
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.module.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.html", "HTML", 0, 0, 0, 0, 84, 0, 0, 0, 6, 8, 98
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.scss", "SCSS", 0, 0, 0, 461, 0, 0, 0, 0, 16, 13, 490
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 36
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.ts", "TypeScript", 0, 0, 178, 0, 0, 0, 0, 0, 1, 21, 200
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.module.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.html", "HTML", 0, 0, 0, 0, 118, 0, 0, 0, 1, 7, 126
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.scss", "SCSS", 0, 0, 0, 346, 0, 0, 0, 0, 0, 8, 354
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 11, 145
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-animations.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
